ID,Nome,Codice,Verniciati,Scorta
7,"PIASTRA AT 400X400","AT-PA0404",0,10
8,"PIASTRA AT 400X500","AT-PA0405",0,10
9,"PIASTRA AT 400X600","AT-PA0406",0,10
10,"PIASTRA AT 500X500","AT-PA0505",0,10
11,"PIASTRA AT 500X700","AT-PA0507",0,10
15,"PIASTRA AT 600X1000","AT-PA0610",0,10
16,"PIASTRA AT 600X1200","AT-PA0612",0,10
12,"PIASTRA AT 600X400","AT-PA0604",0,10
13,"PIASTRA AT 600X600","AT-PA0606",0,10
14,"PIASTRA AT 600X800","AT-PA0608",0,10
19,"PIASTRA AT 800X1000","AT-PA0810",0,10
20,"PIASTRA AT 800X1200","AT-PA0812",0,10
17,"PIASTRA AT 800X600","AT-PA0806",0,10
18,"PIASTRA AT 800X800","AT-PA0808",0,10
309,"PIASTRA CIECA AG INS. FRONTALE 1000X1000","AG-PA1010F",0,10
310,"PIASTRA CIECA AG INS. FRONTALE 1000X1200","AG-PA1012F",0,10
311,"PIASTRA CIECA AG INS. FRONTALE 1000X1400","AG-PA1014F",0,10
312,"PIASTRA CIECA AG INS. FRONTALE 1000X1600","AG-PA1016F",0,10
313,"PIASTRA CIECA AG INS. FRONTALE 1000X2200","AG-PA1022F",0,10
315,"PIASTRA CIECA AG INS. FRONTALE 1200X1000","AG-PA1210F",0,10
316,"PIASTRA CIECA AG INS. FRONTALE 1200X1200","AG-PA1212F",0,10
317,"PIASTRA CIECA AG INS. FRONTALE 1200X1400","AG-PA1214F",0,10
318,"PIASTRA CIECA AG INS. FRONTALE 1200X1600","AG-PA1216F",0,10
319,"PIASTRA CIECA AG INS. FRONTALE 1200X2200","AG-PA1222F",0,10
314,"PIASTRA CIECA AG INS. FRONTALE 1200X800","AG-PA1208F",0,10
321,"PIASTRA CIECA AG INS. FRONTALE 1400X1000","AG-PA1410F",0,10
322,"PIASTRA CIECA AG INS. FRONTALE 1400X1200","AG-PA1412F",0,10
323,"PIASTRA CIECA AG INS. FRONTALE 1400X1800","AG-PA1418F",0,10
324,"PIASTRA CIECA AG INS. FRONTALE 1400X2000","AG-PA1420F",0,10
325,"PIASTRA CIECA AG INS. FRONTALE 1400X2200","AG-PA1422F",0,10
320,"PIASTRA CIECA AG INS. FRONTALE 1400X800","AG-PA1408F",0,10
327,"PIASTRA CIECA AG INS. FRONTALE 1600X1000","AG-PA1610F",0,10
328,"PIASTRA CIECA AG INS. FRONTALE 1600X1200","AG-PA1612F",0,10
329,"PIASTRA CIECA AG INS. FRONTALE 1600X1400","AG-PA1614F",0,10
330,"PIASTRA CIECA AG INS. FRONTALE 1600X1800","AG-PA1618F",0,10
331,"PIASTRA CIECA AG INS. FRONTALE 1600X2000","AG-PA1620F",0,10
332,"PIASTRA CIECA AG INS. FRONTALE 1600X2200","AG-PA1622F",0,10
326,"PIASTRA CIECA AG INS. FRONTALE 1600X800","AG-PA1608F",0,10
333,"PIASTRA CIECA AG INS. FRONTALE 1800X1000","AG-PA1810F",0,10
334,"PIASTRA CIECA AG INS. FRONTALE 1800X1200","AG-PA1812F",0,10
336,"PIASTRA CIECA AG INS. FRONTALE 2000X1000","AG-PA2010F",0,10
337,"PIASTRA CIECA AG INS. FRONTALE 2000X1200","AG-PA2012F",0,10
335,"PIASTRA CIECA AG INS. FRONTALE 2000X800","AG-PA2008F",0,10
289,"PIASTRA CIECA AG INS. FRONTALE 300X2000","AG-PA0320F",0,10
290,"PIASTRA CIECA AG INS. FRONTALE 400X1400","AG-PA0414F",0,10
291,"PIASTRA CIECA AG INS. FRONTALE 400X1600","AG-PA0416F",0,10
292,"PIASTRA CIECA AG INS. FRONTALE 400X1800","AG-PA0418F",0,10
293,"PIASTRA CIECA AG INS. FRONTALE 400X2000","AG-PA0420F",0,10
294,"PIASTRA CIECA AG INS. FRONTALE 400X2200","AG-PA0422F",0,10
295,"PIASTRA CIECA AG INS. FRONTALE 600X1000","AG-PA0610F",0,10
296,"PIASTRA CIECA AG INS. FRONTALE 600X1200","AG-PA0612F",0,10
297,"PIASTRA CIECA AG INS. FRONTALE 600X1400","AG-PA0614F",0,10
298,"PIASTRA CIECA AG INS. FRONTALE 600X1600","AG-PA0616F",0,10
299,"PIASTRA CIECA AG INS. FRONTALE 600X1800","AG-PA0618F",0,10
300,"PIASTRA CIECA AG INS. FRONTALE 600X2000","AG-PA0620F",0,10
301,"PIASTRA CIECA AG INS. FRONTALE 600X2200","AG-PA0622F",0,10
302,"PIASTRA CIECA AG INS. FRONTALE 800X1000","AG-PA0810F",0,10
303,"PIASTRA CIECA AG INS. FRONTALE 800X1200","AG-PA0812F",0,10
304,"PIASTRA CIECA AG INS. FRONTALE 800X1400","AG-PA0814F",0,10
305,"PIASTRA CIECA AG INS. FRONTALE 800X1600","AG-PA0816F",0,10
306,"PIASTRA CIECA AG INS. FRONTALE 800X1800","AG-PA0818F",0,10
307,"PIASTRA CIECA AG INS. FRONTALE 800X2000","AG-PA0820F",0,10
308,"PIASTRA CIECA AG INS. FRONTALE 800X2200","AG-PA0822F",0,10
358,"PIASTRA CIECA AG INS. LATERALE 1000X1000","AG-PA1010L",0,10
359,"PIASTRA CIECA AG INS. LATERALE 1000X1200","AG-PA1012L",0,10
360,"PIASTRA CIECA AG INS. LATERALE 1000X1400","AG-PA1014L",0,10
361,"PIASTRA CIECA AG INS. LATERALE 1000X1600","AG-PA1016L",0,10
362,"PIASTRA CIECA AG INS. LATERALE 1000X2200","AG-PA1022L",0,10
364,"PIASTRA CIECA AG INS. LATERALE 1200X1000","AG-PA1210L",0,10
365,"PIASTRA CIECA AG INS. LATERALE 1200X1200","AG-PA1212L",0,10
366,"PIASTRA CIECA AG INS. LATERALE 1200X1400","AG-PA1214L",0,10
367,"PIASTRA CIECA AG INS. LATERALE 1200X1600","AG-PA1216L",0,10
368,"PIASTRA CIECA AG INS. LATERALE 1200X2200","AG-PA1222L",0,10
363,"PIASTRA CIECA AG INS. LATERALE 1200X800","AG-PA1208L",0,10
370,"PIASTRA CIECA AG INS. LATERALE 1400X1000","AG-PA1410L",0,10
371,"PIASTRA CIECA AG INS. LATERALE 1400X1200","AG-PA1412L",0,10
372,"PIASTRA CIECA AG INS. LATERALE 1400X1800","AG-PA1418L",0,10
373,"PIASTRA CIECA AG INS. LATERALE 1400X2000","AG-PA1420L",0,10
374,"PIASTRA CIECA AG INS. LATERALE 1400X2200","AG-PA1422L",0,10
369,"PIASTRA CIECA AG INS. LATERALE 1400X800","AG-PA1408L",0,10
376,"PIASTRA CIECA AG INS. LATERALE 1600X1000","AG-PA1610L",0,10
377,"PIASTRA CIECA AG INS. LATERALE 1600X1200","AG-PA1612L",0,10
378,"PIASTRA CIECA AG INS. LATERALE 1600X1400","AG-PA1614L",0,10
379,"PIASTRA CIECA AG INS. LATERALE 1600X1800","AG-PA1618L",0,10
380,"PIASTRA CIECA AG INS. LATERALE 1600X2000","AG-PA1620L",0,10
381,"PIASTRA CIECA AG INS. LATERALE 1600X2200","AG-PA1622L",0,10
